Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Sun Aug 26 11:20:32 +0000 2018,John McCain: Tributes as Vietnam veteran and six-term senator dies at 81 https://t.co/zzoGkvexyG,0.0,1.0,0.0,0.0,95
BBCWorld,Sun Aug 26 11:06:25 +0000 2018,"It's hard to imagine... but turtles didn't always have shells 🐢

https://t.co/JPw7CqVCck https://t.co/eylvFfokzN",0.0,0.909,0.091,-0.0516,96
BBCWorld,Sun Aug 26 11:01:12 +0000 2018,Five times McCain clashed with Trump https://t.co/9roNpZ3vXX,0.0,1.0,0.0,0.0,97
BBCWorld,Sun Aug 26 10:37:35 +0000 2018,Zimbabwe election: Mnangagwa sworn in as dispute continues https://t.co/YDvuVulh5n,0.0,0.748,0.252,-0.4019,98
BBCWorld,Sun Aug 26 09:51:19 +0000 2018,"Pope Francis asks for ""firm and decisive"" action to secure ""truth and justice"" for survivors of clerical abuse, dur… https://t.co/04DNyxD4Cg",0.342,0.514,0.144,0.5859,99
BBCWorld,Sun Aug 26 09:33:53 +0000 2018,"Pope Francis must ""get his head around"" the struggles of those who have suffered clerical sex abuse, says one survi… https://t.co/4jktBfVkYi",0.0,0.645,0.355,-0.872,100
CBSNews,Tue Aug 28 23:20:51 +0000 2018,Hurricane Maria now stands as one of the deadliest natural disasters in U.S. history after a new report said its de… https://t.co/RXMchoIDFD,0.1,0.757,0.143,-0.2732,1
CBSNews,Tue Aug 28 23:09:47 +0000 2018,WATCH NOW: The governor of Puerto Rico @ricardorossello is speaking to CBS News' @DavidBegnaud about a new report r… https://t.co/PsEYA1cY2o,0.0,1.0,0.0,0.0,2
CBSNews,Tue Aug 28 23:07:09 +0000 2018,RT @DavidBegnaud: We are live now with the Governor of Puerto Rico Ricardo Rossello https://t.co/nQQaBWEs9o,0.0,1.0,0.0,0.0,3
CBSNews,Tue Aug 28 23:05:53 +0000 2018,"RT @CBSEveningNews: Her spunky spirit and dance moves captured the heart of the country - and @Drake. 

And Monday, 11-year-old Sofia Sanch…",0.078,0.922,0.0,0.1779,4
CBSNews,Tue Aug 28 23:05:09 +0000 2018,Thousands pay their respects to the “Queen of Soul” Aretha Franklin as the star’s public viewing begins in Detroit.… https://t.co/gsxB9lVytT,0.106,0.829,0.065,0.2263,5
CBSNews,Tue Aug 28 23:00:12 +0000 2018,"RT @DavidBegnaud: Tonight at 7 PM Eastern I will interview the Governor of Puerto Rico, live, following the news today that he has raised t…",0.0,1.0,0.0,0.0,6
CBSNews,Tue Aug 28 22:57:40 +0000 2018,"RT @CBSEveningNews: Inside the infamously brutal “Hanoi Hilton” prison, John McCain shared a cell block with John Fer. 

On Sunday, Fer, a…",0.081,0.572,0.347,-0.836,7
CBSNews,Tue Aug 28 22:55:58 +0000 2018,“He was successful in spite of his failures”: Sen. Graham delivers  a tearful remembrance of his colleague the late… https://t.co/lxHj52CWoz,0.157,0.702,0.14,0.1027,8
CBSNews,Tue Aug 28 22:54:54 +0000 2018,"Polls are closing soon in Florida, where Gov. Rick Scott is looking to secure a nomination in his Senate bid. Follo… https://t.co/3fYMUSvXYE",0.107,0.893,0.0,0.34,9
CBSNews,Tue Aug 28 22:51:05 +0000 2018,"Pennsylvania Atty. General, whose investigation into the Catholic Church revealed over 300 “predator priests” in hi… https://t.co/vBGcTsBTKZ",0.0,1.0,0.0,0.0,10
CBSNews,Tue Aug 28 22:47:24 +0000 2018,Hurricane Maria will go down as one of the deadliest natural disasters in U.S. history after the official toll went… https://t.co/DurSqMVWOA,0.1,0.757,0.143,-0.2732,11
CBSNews,Tue Aug 28 22:43:20 +0000 2018,"A white police officer in Texas was found guilty of murder in the fatal shooting Jordan Edwards, an unarmed black t… https://t.co/EElBGUEEAD",0.0,0.621,0.379,-0.9001,12
